channel_title,views
Jackie Aina,340649.00
Dolan Twins,1443934.00
NBC News,38528.00
Washington Post,161057.00
Cody'sLab Backup,71415.00
Matt Steffanina,293758.00
ProZD,596888.00
MisterWivesVEVO,7544.00
Big Cat Rescue,39363.00
REACT,981376.00
YBF Chic,1975.00
RachelPlattenVEVO,68611.00
Brian Hull,111222.00
CaseyNeistat,2468267.00
The Orchard Movies,606481.00
Shmee150,362775.00
iJustine,961935.00
Pixielocks,25796.00
William Osman,169411.00
LastWeekTonight,5661444.00
DunkFest,131762.00
The Infographics Show,728698.00
BBCRadio1VEVO,34784.00
Red Bull,187106.00
littleBits Electronics,1387.00
marshmello,3903013.00
TED-Ed,368865.00
NBA,139806.00
Jenny Nicholson,68585.00
Audience Network,11807.00
Now You See It,252084.00
Wendy Williams,518064.00
Nickelback,388443.00
Life Noggin,496031.00
Cut,220365.00
Good Mythical Morning,885011.00
BBC Earth,43009.00
standupmaths,119765.00
Dancing With The Stars,261429.00
SIRAH,37533.00
U2VEVO,360433.00
VICE,42087.00
Hunter Hayes,107173.00
Rudy Mancuso,4949674.00
emma chamberlain,198789.00
Gus Johnson,146013.00
Atlanta Hawks,3317.00
hp_overload,1384436.00
Summit,21855.00
nigahiga,2744125.00
Hot Dad,13676.00
CrazyRussianHacker,1224268.00
NFL,1042282.00
PeterSripol,413662.00
amc,227345.00
TIME,33434.00
The Scran Line,35487.00
Cleveland Cavaliers on cleveland.com,87065.00
JerryRigEverything,265799.00
Tom Scott,333944.00
Eric Strebel,3841.00
NBA on ESPN,11032.00
Donut Media,136837.00
Saturday Night Live,2688797.00
Mark Ferris,52416.00
BBC Radio 1,59959.00
HANSON,72940.00
Frank May,434036.00
TODAY,100168.00
The king of DIY,301738.00
BBC News,112077.00
People are Awesome,195143.00
NowThis World,789594.00
Emirates,472936.00
D3sports.com,47760.00
Cracked,371683.00
Numberphile,188957.00
Ben Rohrbach,22302.00
Shantell Martin,49451.00
ScreenPrism,292891.00
HellthyJunkFood,324024.00
officer401,147851.00
Tested,343273.00
60 Minutes,48130.00
EminemVEVO,26448434.00
Auralnauts,73984.00
Rappler,67471.00
Eater,35125.00
Amazon.co.uk,108297.00
Disney•Pixar,4707527.00
SelenaGomezVEVO,2959054.00
Vox,396346.00
WWE,1188326.00
Rosanna Pansino,322818.00
LuisFonsiVEVO,29943556.00
Saturday Night Live,21046.00
The Tonight Show Starring Jimmy Fallon,195386.00
Fueled By Ramen,1540436.00
Warner Bros. Pictures,11072585.00
Thomas Sanders,101553.00
Shade 45,148223.00
HaileeSteinfeldVEVO,1905799.00
The Late Show with Stephen Colbert,1612055.00
CrashRacing,831968.00
ChrisStapletonVEVO,286288.00
Marques Brownlee,2280611.00
BostonDynamics,8533826.00
Tasty,370302.00
Nile Wilson,194110.00
vlogbrothers,148145.00
Matthias Wandel,242240.00
AnthonyPadilla,240931.00
Green Day,1246742.00
RemyMaVEVO,2173621.00
SMTOWN,6705901.00
Paramount Pictures,4116378.00
The Late Late Show with James Corden,9856767.00
Rclbeauty101,467983.00
Watch What Happens Live with Andy Cohen,79541.00
TheEllenShow,311937.00
AsapSCIENCE,998296.00
RealLifeLore,288770.00
First We Feast,926121.00
Ultra Music,580897.00
20th Century Fox,9779219.00
Kurzgesagt – In a Nutshell,1795369.00
Maddie Ziegler,365523.00
clothesencounters,166940.00
The Real Daytime,567182.00
MassLive,100954.00
Vanity Fair,679693.00
Vogue,5514929.00
Half as Interesting,855475.00
Atlantic Records,587048.00
