video_id,dislikes
iyrefjMs64k,629
zxUwbflE1SY,145
GKUE2U2qlzY,58
PaJCFHXcWmM,398
MKLlDnUqho4,71
lZ68j2J_GOM,241
MltuW2kcREI,141
VifQlJit6A0,570
d380meD0W0M,2339
N0tmF4j4K6g,14
nc99ccSXST0,1111
_-aDHxoblr4,165
F388-6yDDpc,541
eNSN6qet1kE,127
kIUHDwn51y8,39
e_7zHm7GsYc,105
iIxy3JN3-jc,128
TaTleo4cOs8,328
39idVpFF7NQ,2999
7oRdswHqaf8,36
eAyxMv4IBH8,333
kWIzjMWmuYk,39
GgVmn66oK_A,1511
kqmhCaF5_44,101
fcVjitaM3LY,74
lBHPVE3AI6Y,45
ogYum4kWXgk,68
DVAMKnfrQBk,28
x-uBFJLY8Ow,4
zNqCVTs38nU,77
p2hJxyF7mok,172
ZAQs-ctOqXQ,746
wwZ-T_WQ03A,371
NZFhMSgbKKM,74
hz7ukDjuq4w,163
qeWvgZLz9yU,374
dRpNZV18N_g,270
qrPPj3e2M-M,75
vWYyZMH_QjA,92
6VhU_T463sU,179
QiIlcKiREUU,8
SFdO-19Xdho,22
Lz7dya576HY,43
qK8AcryiniI,14
CBVGjS_EJok,183
ijJPFowBsBc,169
dQvIbulWCM4,1876
VJlSq6h0LNg,58
n1WpP7iowLc,51977
KLZl_sxSN_g,0
n30k5CwLhS4,253
0mlNzVSJrT0,210
PABlVzeldaM,98
sH0Agabp3Rs,5
1WDj0DddCcM,35
QKwgif8OW1w,0
bqgVB6Vl-lI,60
BWPrk9PUwQE,2049
#NAME?,2
0tO_l_Ed5Rs,19201
STI2fI7sKMo,1838
ZhSk8mPSWCg,3
eijd-yjXY9E,14
c-3JxzN2u34,7
ujyTQNNjjDU,4515
w0XYVssCKjw,139
fGTfbMioezc,1
KODzih-pYlU,230
8tbQHHso0oY,304
6340tX9M_eM,463
Jw1Y-zhQURU,11437
t4YAyT4ihIQ,8991
L_5_slz4ke4,22
9xSx-5tmq44,360
ObIQ0s02UHg,2453
gEHCXl4J9Qo,1960
lY_0mkYDZDU,643
k8NxqyGcZA4,5622
coOKvrsmQiI,8233
eOQpjvnm4ME,1368
w8vsuOXZBXc,1565
pOEzjT-SED0,10680
5HOijUtExiM,1308
asu37n6sEBY,141
p8XP7A7kvzM,6413
p9wE8dyzEJE,282
ZpS-w6BxN-U,83
Qf1xyI_iKWA,166
6uJf2IT2Zh8,11280
i9GSF3ROa58,1083
8-Cjsnq8kVU,5437
duRDizP0gHQ,619
qS6LoRYUdhw,489
16W7c0mb-rE,992
mNhxFzR25Rs,57
0O2IAz1E9Ts,1212
nRafaCcfrcI,3925
djlaHJCXT4o,79
8-u5nd2GqNE,483
88kkrRv1UgI,472
kz3MEd1Jr0Q,327
By6Mi7VlqcU,74
Lxet1zLBTM8,1055
dcipHnWcB0w,236
6GT7PrIIS5I,283
9PhM-zCmTFs,177
VNqrILFD5h0,39
Pubtjn5QIjg,145
ixxR3ZoqnF0,3814
gk05IMU2RrU,164
S_5TyDFx6kc,75
pvg2cw5oshg,76
EEIP1YpFXrE,654
hpapqEeb36k,816
mHaJ8xsWD3s,87
U5sCjnezw4o,43
mZpGOQ7tBKE,353
CziCidR4KcY,969
KhxqJzr6FAE,25
PHWAZNkqwN4,367
tG4Fbj1B1bY,179
DhwwTxTh5To,803
TsYGNNPQ3ZU,93
GIn4CeZq7Nw,22
szs2GAYwMHo,70
l3xmc0pzzJI,1017
svZScJMh4Pg,560
AJkOHavUH_A,254
FHl0nIdbiLA,2983
0gwkMY-mzUQ,705
MMGrzOu1amQ,986
8KT1UCsOE74,1471
cmoknv58jjE,8314
RrhSJzM8NLE,504
mjBIsBPG1N8,125
9pbCuFxRuqs,1192
Mn-3c6of8t8,524
jG1JY0rt2Os,3720
cxMvzK2OQTw,8404
kOCkne-Bku4,83
hXcoq5XDwyA,114
dUMH6DVYskc,5614
UwdLlnPaRAU,188
YvfYK0EEhK4,2146
xL_qpDkF5A8,152
k1cA-Wh3Tc0,860
bAkEd8r7Nnw,1959
OlJykKOuank,29
YjBB89qsupM,468
Mmkf4zYlW4E,74
K6xwB8Kkce0,333
ItYOdWRo0JY,44500
5530I_pYjbo,915
C4YNcqNF4hg,138
i9EyFghIt5o,336
ve3oQBjcAGI,2523
mcqWcLDUeag,194
9SK1I0V6U5c,1080
L9eFkmjIIWA,48
uN9zBcweN4M,42
eQVhAN7-IAw,613
rRsstfoKQeo,3
AJ2xkh-6tL4,83
#NAME?,15
pcWKpGzhgq4,177
PGWBA_OzCE4,89
CtBca6H6Teg,506
Gnxv9OH-giQ,190
qDAxDcjgn-8,750
qqs3fxfmWr4,107
4ftGS_6i7mM,16
g0K5QoEj7FQ,149
Qj7DVNDb7To,67
vZzIS17HexE,113
upEIZAihcwo,102
p2EY93WfBQk,557
9kF9xY74h-E,709
77McSTzTgg8,218
L3br0klRqF4,338
Jidk0O6uu-0,39
W8vXDp7NuFs,193
Y9nDagqKL7Q,523
C_SJgw5MVFY,14
FEjZiCPuvqQ,31
DbJ2s_g1oDc,1233
P7zi6oQ4fPQ,0
ENr6CXm1YxU,74
E_86MEdNsAI,96
2kyS6SvSYSE,7802
6j-s9E3dRQ0,512
gHZ1Qz0KiKM,2651
0ANDjPQPS_Q,84
Cr9oGxr0Qa0,101
1ZAPwfrtAFY,11064
aAm6AHr14zY,23
l4bAoNAx2uo,2096
LduRwIc7eBA,21
NfLVVJOuY5M,39
7xhxjcejONk,1
5E4ZBSInqUU,4307
YVfyYrEmzgM,127
yxFdue1dCtE,70
I-5CODzeGEE,91
J7wMOb0WIfQ,0
jGiqc3HSxEg,240
VonJ4ASDO40,765
zZ9FciUx6gs,763
vU14JY3x81A,228
zxUwbflE1SY,148
puqaWrEC7tY,1363
N0tmF4j4K6g,15
R9c-_neaxeU,50
GKUE2U2qlzY,62
MKLlDnUqho4,87
PaJCFHXcWmM,427
iyrefjMs64k,653
e_7zHm7GsYc,109
MltuW2kcREI,144
lZ68j2J_GOM,243
k-w8GxCpsCU,0
Hq89wYzOjfs,17
d380meD0W0M,2373
QJfL0a3qEKw,18
nc99ccSXST0,1126
F388-6yDDpc,549
eNSN6qet1kE,133
VifQlJit6A0,577
7oRdswHqaf8,36
iIxy3JN3-jc,128
qeWvgZLz9yU,384
_-aDHxoblr4,167
x-uBFJLY8Ow,4
kIUHDwn51y8,39
39idVpFF7NQ,3059
kWIzjMWmuYk,41
SFdO-19Xdho,23
kqmhCaF5_44,102
eAyxMv4IBH8,334
DVAMKnfrQBk,31
TaTleo4cOs8,332
lBHPVE3AI6Y,46
ogYum4kWXgk,69
GgVmn66oK_A,1561
p2hJxyF7mok,185
zNqCVTs38nU,77
ZAQs-ctOqXQ,750
fcVjitaM3LY,75
NZFhMSgbKKM,75
vWYyZMH_QjA,92
wwZ-T_WQ03A,386
dRpNZV18N_g,274
hz7ukDjuq4w,171
6VhU_T463sU,182
QiIlcKiREUU,10
n1WpP7iowLc,53873
qrPPj3e2M-M,78
qK8AcryiniI,15
Lz7dya576HY,43
CBVGjS_EJok,184
ZJDMWVZta3M,2072
_wS7seijyks,420
jGyUVyp9w9g,62
tr7I4vokl78,186
w8vsuOXZBXc,2469
coOKvrsmQiI,10400
B4mK5OElAFQ,118
By6Mi7VlqcU,799
eOQpjvnm4ME,1968
Y1n8F4uClUU,221
asu37n6sEBY,326
ctx4YBEdOxo,2682
dpeDxEb9yeg,279
D818vkK10UQ,248
Qf1xyI_iKWA,280
6GT7PrIIS5I,516
FZiCWBplZ90,304
i9GSF3ROa58,1963
pOEzjT-SED0,13817
6uJf2IT2Zh8,14126
p9wE8dyzEJE,349
p8XP7A7kvzM,7805
nfbwPTsowEA,860
VNqrILFD5h0,141
mNhxFzR25Rs,125
qS6LoRYUdhw,613
88kkrRv1UgI,687
duRDizP0gHQ,700
kz3MEd1Jr0Q,589
8-Cjsnq8kVU,6202
16W7c0mb-rE,1081
JLOFZoBJnd8,212
gk05IMU2RrU,289
dcipHnWcB0w,401
U5sCjnezw4o,73
0O2IAz1E9Ts,1438
nRafaCcfrcI,4424
8-u5nd2GqNE,706
wJh-jurxmGQ,33
9PhM-zCmTFs,215
pvg2cw5oshg,123
ixxR3ZoqnF0,4272
TsYGNNPQ3ZU,140
GIn4CeZq7Nw,74
MGanJGGVSrw,448
UB1cGaIW81I,25
mHaJ8xsWD3s,148
tG4Fbj1B1bY,217
S_5TyDFx6kc,94
mZpGOQ7tBKE,404
iASe_veKR74,106
CziCidR4KcY,1066
PHWAZNkqwN4,467
hpapqEeb36k,861
EEIP1YpFXrE,766
svZScJMh4Pg,622
KhxqJzr6FAE,31
Pubtjn5QIjg,176
DhwwTxTh5To,926
szs2GAYwMHo,77
l3xmc0pzzJI,1063
AJkOHavUH_A,337
0gwkMY-mzUQ,722
FHl0nIdbiLA,3133
K6xwB8Kkce0,438
MMGrzOu1amQ,1074
mjBIsBPG1N8,144
8KT1UCsOE74,1597
jG1JY0rt2Os,4107
RrhSJzM8NLE,558
cmoknv58jjE,8599
9pbCuFxRuqs,1233
Mn-3c6of8t8,535
kOCkne-Bku4,122
cxMvzK2OQTw,8571
UwdLlnPaRAU,214
dUMH6DVYskc,5874
YvfYK0EEhK4,2200
YjBB89qsupM,527
k1cA-Wh3Tc0,907
xL_qpDkF5A8,159
uN9zBcweN4M,43
bAkEd8r7Nnw,2008
hXcoq5XDwyA,115
AJ2xkh-6tL4,86
IeTTfquV0iE,5
C4YNcqNF4hg,150
5530I_pYjbo,971
ve3oQBjcAGI,2652
Mmkf4zYlW4E,77
QaASZecxQww,3
i9EyFghIt5o,342
qqs3fxfmWr4,117
9SK1I0V6U5c,1129
mcqWcLDUeag,198
OlJykKOuank,35
ItYOdWRo0JY,45910
eQVhAN7-IAw,630
FvoPOdop0hA,1
g3VgrgV3kFk,1
p7KHGUwqF24,0
rRsstfoKQeo,4
L9eFkmjIIWA,49
#NAME?,16
Gnxv9OH-giQ,211
pcWKpGzhgq4,182
